Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
165;Python разработчик;Екатеринбург;Точка;420000;420000;420000;руб;Заботимся о качестве кода: проводим ревью, всё покрываем тестами и даём обратную связь. Делаем много проектов на asyncio, aiohttp, fastapi. Есть опыт работы с Python 3.8, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django...;https://spb.hh.ru/vacancy/50258676?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
166;Бэкенд-разработчик (Back-end developer);Екатеринбург;QIWI; ; ; ; ;"Проектирование, разработка и поддержка сервисов на PHP и Python, а также смежных технологиях. Взаимодействие с другими участниками команды.Опыт корпоративной разработки на PHP от 3х лет;. Знание Python (2 — 3). Опыт корпоративной разработки от 3х лет. ";https://spb.hh.ru/vacancy/66651000?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
167;Python разработчик (senior) (backend) / Backend Team lead;Москва, Площадь Гагарина;ООО Лендсбэй;300000;300000;300000;руб;Опыт работы с linux console. Будет плюсом: Понимание как работает python/go с PostgreSQL посредством драйверов, особенности работы.. Опыт работы с linux console. Будет плюсом: Понимание как работает python/go с PostgreSQL посредством драйверов, особенности работы.. ;https://spb.hh.ru/vacancy/54589895?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
168;Python Back-end Разработчик / Python Back-end Developer;Санкт-Петербург, Горьковская;Доктор Веб; ; ; ; ;Разработка back-end части веб-сервиса.Уверенное владение Python 3.x (2.x). Опыт профессиональной командной разработки проектов на Python от 1 года. Опыт работы с...;https://spb.hh.ru/vacancy/46823861?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
169;Python разработчик (QA);Москва;АО Эшелон Технологии;150000;150000;150000;руб;Написание frontend, backend, интеграционных тестов. Поддержание и развитие существующей инфраструктуры. Взаимодействие с разработчиками компании.Грамотно документируешь результаты тестирования. Умеешь создавать автотесты Python3  PyTest  Selenium. Используешь системы: Git, Jira, Gitlab. Работаешь с SQL и...;https://spb.hh.ru/vacancy/66833876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
170;Fullstack программист Python/JS;Санкт-Петербург;ООО Эмзиор;120000;120000;120000;руб;Разработка front- и back-end различных типов пользовательских интерфейсов (GUI, WEB, text based). Проектирование архитектуры хранения данных. Разработка микросервисов. Уверенные знания языка python и фреймворков flask и/или django. Уверенные знания языка JavaScript, CSS, HTML. Знание языка SQL и...;https://spb.hh.ru/vacancy/66852977?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
171;QA Automation engineer (Python);Москва, Маяковская;ПАО ТрансКонтейнер; ; ; ; ;Разработка и поддержка автотестов сервисов, API, backend. Разработка интеграционных тестов. Документирование результатов тестирования, отчеты. Регрессионное тестирование.Навыки разработки программного обеспечения и API. Навыки программирования python (понимание asyncio). Опыт построения API (fastapi и т.д.). ;https://spb.hh.ru/vacancy/55549932?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
172;Python-разработчик в Процессы бэк-офиса;Санкт-Петербург;Яндекс; ; ; ; ;Мы автоматизируем и оптимизируем различные HR-процессы: наем, отпуска, отсутствия, оформление командировок, реструктуризация компании, распределение и контроль бюджетов на людей...Имеете опыт разработки на любом языке и желание переключиться и писать на Python. Понимаете, как работают веб-сервисы и Unix. ;https://spb.hh.ru/vacancy/66891711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
173;Python-разработчик в Процессы бэк-офиса;Москва;Яндекс; ; ; ; ;Мы автоматизируем и оптимизируем различные HR-процессы: наем, отпуска, отсутствия, оформление командировок, реструктуризация компании, распределение и контроль бюджетов на людей...Имеете опыт разработки на любом языке и желание переключиться и писать на Python. Понимаете, как работают веб-сервисы и Unix. ;https://spb.hh.ru/vacancy/66891613?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
174;Backend Developer (Golang);Москва, Бауманская;РОССТ, РА; ; ; ; ;Хостинг в облаке Google. На бэкенде используем Golang/Python 3.8. PostgreSQL в облаке. Kafka в облаке. CI/CD, код...Git, GitLab. Опыт работы с Kafka. Опыт работы с облачными SaaS (GCS, AWS). Опыт работы с Django Framework. Знание Python.;https://spb.hh.ru/vacancy/49883107?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
175;Разработчик бэкенда в Практикум;Екатеринбург;Яндекс; ; ; ; ;Проектировать и внедрять новые форматы прохождения курсов, проектных работ. Добавлять на платформу новые тренажеры для студентов, внедрять запуск кода на...Разрабатывать сложный универсальный конструктор образовательного опыта.;https://spb.hh.ru/vacancy/55544225?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
176;Python Developer (Middle+);Санкт-Петербург;Karta.;4000;4000;4000;usd;разработка высоконагруженного проекта на django. — написание юнит-тестов. — коммуникация с менеджерами, командой FrontEnd и QA. — интеграция партнёрских сервисов.отличные знания Python, Django, ORM, DRF. — хорошее знание SQL (join, индексы, триггеры), мы используем Postgres. — опыт работы с celery, docker...;https://spb.hh.ru/vacancy/66816235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
177;Программист PHP, Python;Москва, Ломоносовский проспект;Гарант;138000;138000;138000;руб;Разрабатывать ПО для обработки текстовых данных. - Писать тесты. - Оптимизировать работу с базой данных. - Поддерживать текущий код. - Участвовать в настройке и...Опыт back-end разработки на Python, PHP, SQL от года. Навыки работы с Git. - Желательны знания и опыт применения Javascript...;https://spb.hh.ru/vacancy/54973477?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
178;Middle Backend-разработчик;Самара;ООО НЕОСОФТ;100000;100000;100000;руб;Асинхронный, синхронный JS/TS. Оптимизация работы с большими объёмами данных. Работы с большими объёмами данных. Работы с параллельными вычислениями. Для нас важны знания технологий: SQL (MySQL/Postgresql). Важен опыт:;https://spb.hh.ru/vacancy/54888917?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
179;Junior Backend-разработчик;Самара, Московская;ООО НЕОСОФТ;30000;60000;45000;руб;Мы готовы рассмотреть кандидатов со знаниями других технологий: SQL (MySQL/Postgresql). Асинхронный, синхронный JS/TS (или желание его освоить). Мы готовы рассмотреть кандидатов со знаниями других технологий: SQL (MySQL/Postgresql). Асинхронный, синхронный JS/TS (или желание его освоить). ;https://spb.hh.ru/vacancy/54369787?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
180;Разработчик Back-end;Зеленоград;ЗАО Болид, НВП;150000;180000;165000;руб;Разработка новых облачных сервисов и API интерфейсов для охранно-пожарного оборудования. Разработка сервисов идет на базе Python 3.7/Django...Хорошее знание Python, Django, DRF. Опыт работы с SQL, REST API. Опыт работы с Flask. Опыт работы с Docker. ;https://spb.hh.ru/vacancy/54927527?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
181;Senior Backend developer;Санкт-Петербург, Московские ворота;Тензор;230000;380000;305000;руб;Работать в большой команде как локальных, так и распределенных разработчиков. Разрабатывать один из модулей системы управления предприятием. Участвовать в процессе...Опыт коммерческой разработки на Python от 3 лет. Хорошее знание SQL(PostgreSQL). Знание основных паттернов проектирования. Понимание принципов работы web...;https://spb.hh.ru/vacancy/55409094?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
182;Backend-разработчик;Нижний Новгород, Горьковская;Веб Крафт;3000;3000;3000;usd;Участие в поддержке и разработке веб-приложений getsitecontrol.com и getform.com.Знание Python 3. Уверенная работа с СУБД и SQL. Опыт разработки серверного приложения. Опыт работы с backend на python от...;https://spb.hh.ru/vacancy/66086683?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
183;Разработчик back-end;Санкт-Петербург;АО ИнфоТеКС; ; ; ; ;Развитие и поддержка системы управления уязвимостями. Проектирование и реализация внутренних систем и сервисов центра мониторинга. Интеграция средства сбора и анализа...Уверенные знания Python. Django, DRF. Pytest, unittest. Знание принципов ООПю. Опыт работы с ELK.;https://spb.hh.ru/vacancy/52870406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
184;Разработчик back-end;Москва, Отрадное;АО ИнфоТеКС; ; ; ; ;Развитие и поддержка системы управления уязвимостями. Проектирование и реализация внутренних систем и сервисов центра мониторинга. Интеграция средства сбора и анализа...Уверенные знания Python. Django, DRF. Pytest, unittest. Знание принципов ООПю. Опыт работы с ELK.;https://spb.hh.ru/vacancy/46865476?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
185;Разработчик back-end;Новосибирск;АО ИнфоТеКС; ; ; ; ;Развитие и поддержка системы управления уязвимостями. Проектирование и реализация внутренних систем и сервисов центра мониторинга. Интеграция средства сбора и анализа...Уверенные знания Python. Django, DRF. Pytest, unittest. Знание принципов ООП. Опыт работы с ELK.;https://spb.hh.ru/vacancy/46865876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
186;Разработчик back-end;Томск;АО ИнфоТеКС; ; ; ; ;Развитие и поддержка системы управления уязвимостями. Проектирование и реализация внутренних систем и сервисов центра мониторинга. Интеграция средства сбора и анализа...Уверенные знания Python. Django, DRF. Pytest, unittest. Знание принципов ООПю. Опыт работы с ELK.;https://spb.hh.ru/vacancy/48577565?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
