Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
294;Fullstack Python Developer;Тбилиси;Nitka Technologies; ; ; ; ;Без проблем переключается между задачами на frontend и backend.Большая гибкость в технологиях и подходах. Имеет опыт разработки на Python от 3 лет. Знает JavaScript, React (или любой другой...;https://spb.hh.ru/vacancy/66510273?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
295;Fullstack Python Developer;Ташкент;Nitka Technologies; ; ; ; ;Без проблем переключается между задачами на frontend и backend.Большая гибкость в технологиях и подходах. Имеет опыт разработки на Python от 3 лет. Знает JavaScript, React (или любой другой...;https://spb.hh.ru/vacancy/66510274?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
296;Python Senior программист разработчик, удалённо;Москва;ИП Коломийчук Сергей Валерьевич;150000;200000;175000;руб;Покрытие разработки тестами для мониторинга багов. Разработка backend части, которая взаимодействует с базой данных. Подключение сторонних API....реализации будет иметь большой простор и выбор путей реализации. Ключевые навыки: Python, взаимодействие написанного кода с базами данных. Раскатывание сервера.;https://spb.hh.ru/vacancy/66765373?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
297;Python developer (Middle);Воронеж;Surf; ; ; ; ;Определение состава и объемов работ, исполнение плана и сроков выполнения работ. Разрабатывать backend и web-приложения. Разрабатывать REST API. Опыт работы с Flask, Django. Опыт в языках программирования и технологий: SQL, Python. Опыт работы с базами данных: PostgreSQL. ;https://spb.hh.ru/vacancy/66509445?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
298;Python developer (Middle);Санкт-Петербург;Surf; ; ; ; ;Определение состава и объемов работ, исполнение плана и сроков выполнения работ. Разрабатывать backend и web-приложения. Разрабатывать REST API. Опыт работы с Flask, Django. Опыт в языках программирования и технологий: SQL, Python. Опыт работы с базами данных: PostgreSQL. ;https://spb.hh.ru/vacancy/66509432?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
299;Программист PYTHON / Программист алгоритмист;Алматы;ТОО Steps AI; ; ; ; ;Писать и поддерживать автотесты. - Тесно взаимодействовать с data-инженерами, аналитиками, бэкенд-разработчиками. - Исследовать новые подходы и технологии, ставить эксперименты. - Отличные знания Python (фреймворки Django, FastAPI, Tornado или готовность их изучить). - Опыт работы с бэкендом и инфраструктурой: Linux, Docker, Nginx. - ;https://spb.hh.ru/vacancy/66578420?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
300;Python Developer в SuperApp;Алматы;Кселл, АО; ; ; ; ;Постоянное улучшение возможностей приложения для пользователей. Разработка backend на Django. Внедрение нового функционала и исправление существующих багов, разбор легаси кода. Понимание и умение проектировать техническую документацию. Отличное понимание ЯП Python и его принципов. Опыт работы с Django. Способность самостоятельно разобраться...;https://spb.hh.ru/vacancy/66589934?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
301;Backend Java Developer (middle);Екатеринбург;Ростелеком Контакт-центр;240000;240000;240000;руб;Оценка задач. Участие в ревью кода. Разработка back-end части высоконагруженных систем. Участие в разработке архитектуры решения и выборе технологий...Опыт работы с другими бд (OracleDB и т.д.). Опыт работы с MongoDB, Redis, Hazelcast, kafka. Опыт работы на Python.;https://spb.hh.ru/vacancy/66576432?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
302;Back-end разработчик в Центр развития электронных образовательных ресурсов СПбГУ;Санкт-Петербург;ФГБОУ ВО Санкт-Петербургский государственный университет; ; ; ; ;1. Разработка образовательной платформы СПбГУ. 2. Разработка дополнительных сервисов для функционирования образовательной платформы. 3. Интеграция с внешними системами. 4. Приветствуется опыт работы в сфере образования. Необходимые профессиональные навыки и знания: 1.Backend - Python. Опыт работы с Django, MongoDB. ;https://spb.hh.ru/vacancy/66743729?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
303;Программист Python SQL JS;Казань;ООО Рус-Глонасс Казань;90000;90000;90000;руб;"Создание web-сервиса автоматических отчетов для наших клиентов (frontend  backend). Подключение по API (Wialon, Okdesk, Hecterra, процессинг топливных карт). Навыки программирования и работы с базами данных (Python, JavaScript, SQL). Опыт разработки. Желание делать свою работу качественно ""под ключ"".";https://spb.hh.ru/vacancy/66555628?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
304;Бэк-энд-разработчик;Екатеринбург, Площадь 1905 года;ООО Сибирско-уральская медиакомпания;120000;120000;120000;руб;Еще есть Keycloak для управления пользователями и MinIO для хранения файлов.Знание и умение в Git. Опыт коммерческой разработки на Python от года. Опыт работы с фреймворком Django от полугода. ;https://spb.hh.ru/vacancy/55559238?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
305;Разработчик Python;Москва;АО Гринатом;150000;250000;200000;руб;Оптимизация работы ресурсов(повышение производительности, безопасности). Поддержание стабильности и работоспособности системы. Тестирование и отладка. Сопровождение технической документации. Стэк: Backend: Python...Знания Linux систем. Уверенные знания Django Framework. Работа с PostgreSQL. Понимание общего принципа микросервисной архитектуры. Опыт работы с legaсy – кодом. ;https://spb.hh.ru/vacancy/55132598?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
306;Python developer;Москва, Белорусская;Технологии Доверия, Департамент Консалтинг; ; ; ; ;Работа в междисциплинарной команде по проектированию, проектированию и выпуску высококачественных продуктов. Устранение неполадок и оптимизация бэкэнд-кода для обеспечения стабильной...Русский - свободно, английский (технический, умение свободно читать техническую документацию и базовый уровень общения). Опыт работы с Python от 4 лет...;https://spb.hh.ru/vacancy/55101079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
307;Senior Backend Developer (Rust);Санкт-Петербург;ООО Коинлоан; ; ; ; ;Построение бэкенда для исполнения алгоритмов обменных операций. Разработка внутренних микросервисов и библиотек на Rust и Python. Написание ряда API для...Навыки работы с Git и GitLab CI. Будет плюсом. Коммерческий опыт разработки на Python, в идеале Django и aiohttp. ;https://spb.hh.ru/vacancy/66520454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
308;Backend-разработчик/Node.js Backend Developer;Санкт-Петербург, Лесная;ООО ФинансСервис; ; ; ; ;Реализацией новых микросервисов в высоконагруженных финтех проектах, написание более эффективной замены уже работающим сервисам и частям монолита.Коммерческий опыт разработки от 2-х лет. Умение писать поддерживаемый и тестируемый код. Уверенное знание javascript и его последних стандартов. ;https://spb.hh.ru/vacancy/55106779?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
309;Разработчик Python;Москва, Бауманская и еще 2 ;ПАО Первая Грузовая Компания; ; ; ; ;Проектирование и разработка серверных приложений (backend). Поддержка и дальнейшее развитие функциональности серверных приложений. Тестирование функциональности серверных приложений. Написание/корректировка/ревью...Опыт работы в качестве разработчика ПО от 3 лет. Фундаментальные знания языка Python, умение писать поддерживаемый, читаемый и тестируемый код. ;https://spb.hh.ru/vacancy/55903914?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
310;Python developer;Москва, Верхние Котлы и еще 1 ;Группа компаний Астра; ; ; ; ;"Реализация back-end для личного кабинета группы компаний ""Astra Linux"". Написание интеграций с другими сервисами. Участие в проектировании архитектуры. Опыт разработки на Python 3.x от 3-х лет. Опыт работы с фреймворками Django и Django REST Framework. ";https://spb.hh.ru/vacancy/55903755?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
311;Python Developer;Санкт-Петербург;ООО Коинлоан; ; ; ; ;Развитие и поддержание бэкенда для финтех сервисов. Разработка интеграций с платежными сервисами. Взаимодействие с API криптовалютных бирж (например, Binance, Kraken). Коммерческий опыт от 2-х лет в роли разработчика на Python. Знание разнообразных библиотек - Django/DRF, asyncio/aiohttp и другие. ;https://spb.hh.ru/vacancy/55890845?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
312;Программист (Backend-разработчик);Волгоград;TAYLE;70000;70000;70000;руб;Участие в разработке и поддержке веб-проектов компании по большей части в Backend редко Frontend. Покрытие кода тестами (основного функционала). Высшее профильное образование приветствуется. Обязательные требования: Django, Python3, git, DRF, linux, celery (опыт работы от 1 года). ;https://spb.hh.ru/vacancy/47009544?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
313;Python разработчик;Петрозаводск;ООО ПК Энергосбережение; ; ; ; ;Реализация бэкенд-сервисов на языке Python. Написание RESTful API для клиентской части продукта. Оптимизация производительности приложения. Тестирование. Участие в проектировании......и основ Python 3. Понимание REST-архитектуры, опыт разработки серверной части REST. Опыт разработки асинхронных приложений на Python. ;https://spb.hh.ru/vacancy/55858608?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
314;Программист Python / Python developer;Санкт-Петербург, Лесная и еще 1 ;Программный Продукт, ИТ-компания; ; ; ; ;Архитектурные задачи. Поддержка и оптимизация кода. Разработка новых микросервисов. Имплементация подготовленных датасаентистами моделей в прод.Python. MongoDB. Flask. Django. FastAPI. Celery. Docker. Git. Понимание микросервисной архитектуры. Знание асинхронности и многопоточности в Python. Pandas, numpy. ;https://spb.hh.ru/vacancy/48239095?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
315;Ведущий back-end программист (javascript) (удаленно);Москва, Тимирязевская и еще 2 ;ООО ВойсЛинк;200000;200000;200000;руб;Разрабатывать новые проекты в этом направлении, а также поддерживать существующие.Обязательно: Опыт разработки на JS от 3х лет. Базовые знания SQL. Базовые знания алгоритмов и структур данных. ;https://spb.hh.ru/vacancy/54049347?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
316;Ведущий разработчик Python;Москва;ООО Кловер Групп; ; ; ; ;Разработка и развитие решения для промышленности с нуля (цифровой советчик). Самостоятельно написание кода – 80% рабочего времени. Техническое курирование команды разработки......Python, Sql, Git. Django, Flask. Numpy, pandas, kafka. SOLID, GRASP. Опыт работы разработчиком Python от 3 лет. Владение стэком бэкенда...;https://spb.hh.ru/vacancy/55348874?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
317;Full-stack developer Python;Москва;ООО Экзибилити;250000;250000;250000;руб;Создание архитектуры высоконагруженного приложения. Организация разработки frontend и backend высоконагруженного приложения. Непосредственное участие в разработке проекта, контроль за кодом других...Четкое знание ограничений этих продуктов. Опыт backend разработки высоконагруженных проектов на python. Опыт разработки frontend на Angular. Понимание основ DevOps. ;https://spb.hh.ru/vacancy/66202908?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
318;Архитектор мобильной разработки (Python);Екатеринбург;ГКУ Инфогород; ; ; ; ;...руководитель разработки и служба эксплуатации). Участвовать в продуктовом планировании, отвечать за его техническую часть. Производить оценку при найме Python-разработчиков.Опыт практической мобильной разработки на асинхронном Python от 4х лет. Опыт проведения собеседований и подбор членов команды. ;https://spb.hh.ru/vacancy/66191588?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
319;Backend QA Engineer;Санкт-Петербург, Беговая;ООО Видео 247;150000;150000;150000;руб;Анализ, документирование дефектов, поиск причин, верификация исправлений. Написание компонентных автотестов на Postman и Python. Ревью тестов и кода других qa...Умение находить главное в каждой задаче. Умение решать самостоятельно поставленные задачи  умение их приоритезировать. Опыт тестирования клиент-серверных приложений. ;https://spb.hh.ru/vacancy/54354487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
320;Python backend developer/ Бэкенд разработчик на питоне;Москва;Neuro-Core;120000;190000;155000;руб;Разработка backend приложений на Python 3. Упаковка Data Science решения (docker, интеграция API). Разработка API. Разработка интеграций различных API.Опыт в аналогичной должности от 1.5 лет (python 3.6). Опыт разработки серверных приложений на веб-фреймворках Python (FastAPI...;https://spb.hh.ru/vacancy/55605945?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
321;Web-разработчик full stack;Санкт-Петербург;ИП Клемешов Александр Евгеньевич;70000;100000;85000;руб;...высоконагруженные системы, модули и плагины, программирование микроконтроллеров и др. Разработка сайтов компании, frontend & backend. Разработка интеграций с различными внешними системами.Уверенное знание и опыт работы с JavaScript, HTML, CSS, jQuery. Знание Python. Знание React. Хорошее знание Django Framework. ;https://spb.hh.ru/vacancy/55302147?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
322;Back-end Developer (Node.js / JavaScript), удалённо;Москва;ООО Поток.Диджитал;100000;350000;225000;руб;Пишет код на языке Node.js в контексте веб разработки. Пишет автоматические тесты. Оценивает задачу перед тем, как ее делать. docker-compose.  mocha. Для нас важен опыт и понимание принципов:;https://spb.hh.ru/vacancy/66565815?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
323;Python developer (Django);Краснодар;Kokoc Group; ; ; ; ;Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. ;https://spb.hh.ru/vacancy/66108700?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
324;Python developer (Django);Санкт-Петербург;Kokoc Group; ; ; ; ;Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. ;https://spb.hh.ru/vacancy/66108671?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
325;Python developer (Django);Москва;Kokoc Group; ; ; ; ;Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. Опыт разработки на Python/Django от 3-х лет. Опыт работы с PostgreSQL/Redis. Опыт коммерческой разработки REST API. ;https://spb.hh.ru/vacancy/66081560?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
326;Python разработчик;Вологда;ООО ПК Энергосбережение;60000;60000;60000;руб;Реализация бэкенд-сервисов на языке Python. Написание RESTful API для клиентской части продукта. Оптимизация производительности приложения. Тестирование. Участие в проектировании......и основ Python 3. Понимание REST-архитектуры, опыт разработки серверной части REST. Опыт разработки асинхронных приложений на Python. ;https://spb.hh.ru/vacancy/55883123?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
327;IT директор;Москва;Юниты; ; ; ; ;Разработка ведется по методологии : agile. Количество серверов 12, Linux. Для написания backend используем python. В зоне ответственности руководителя будет: оптимизировать......находить решения и брать на себя ответственность. Уверенные познания в PHP, python, MySQL, MongoDB. Плюсом будет опыт разработки на Node.JS.;https://spb.hh.ru/vacancy/66919337?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
328;Программист Python (middle);Санкт-Петербург;Everypixel group; ; ; ; ;В бекенде используем Python, Java SE, очереди, на фронте React. По мере возможностей покрываем код тестами, задачи трекаем в Jira...В backend команду Everypixel ищем python-разработчика с опытом 2 года. - способен самостоятельно решать задачи. Плюсом будет: - опыт проектирования и...;https://spb.hh.ru/vacancy/66515734?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
329;Senior Python Developer;Тбилиси;DINS; ; ; ; ;Разрабатывать и сопровождать систему. Проектировать, планировать, оценивать задачи вместе с командой. Проводить и проходить code review. Взаимодействовать с отделами разработки...Опыт разработки программного обеспечения от 3х лет. Опыт разработки backend систем на Python от 2х лет. ;https://spb.hh.ru/vacancy/54330685?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
330;Fullstack разработчик;Москва;KRK Group;200000;200000;200000;руб;Вам предстоит заниматься разработкой платформы по автоматической аннотации футбольных матчей с использованием ML алгоритмов. Основная цель - получать статистические характеристики(пробег...Будет здорово, но необязательно если вы:;https://spb.hh.ru/vacancy/66789545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
331;Senior Back-end Engineer;Ташкент;Person Hunters, ООО;4000;4000;4000;usd;Help design and implement functional requirements. Build efficient back-end features. Manage testing and bug fixes. Prepare technical documentation. Experience with back-end development. Experience with Scala (2.11). Experience working in a microservices' environment where services communicate with...;https://spb.hh.ru/vacancy/66077969?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
332;Программист Python (стажер);Москва;АО РТИ; ; ; ; ;Следование современным трендам: Gitlab, настроенный CI/CD, набор инструментов Jira/Confluence, K8S, корпоративный мессенджер, система видеоконференций. - Разработка бекэнд...Возможности профессионального развития: мы организуем онлайн и офлайн митапы на актуальные темы, внутренние технические и архитектурные встречи по обмену опытом. - ;https://spb.hh.ru/vacancy/53644433?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
333;Разработчик Python (ML/обработка естественного языка);Санкт-Петербург;ELMA; ; ; ; ;Успешное участие в соревнованиях на Kaggle и аналогичных платформах. Backend: Python 3.8, FastAPI. ML: PyTorch. CI/CD: GitLab. Знание Python на уровне Middle. Умение решать задачи машинного обучения с помощью какого-либо фреймворка (tensorflow, Pytorch, etc). ;https://spb.hh.ru/vacancy/53545384?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
334;Junior Backend разработчик;Краснодар;AXAS;25000;30000;27500;руб;Работа с базами данных SQLite, MySQL, PostgreSQL. Поддержка существующих проектов. Отслеживание задач в трекере, своевременное их выполнение. Тесное взаимодействие с...Backend разработка проектов на Python(Flask, FastAPI) и PHP(Native, Laravel). Ответственного в любой ситуации. Важны умения: Умение быстро принимать...;https://spb.hh.ru/vacancy/66176306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
335;Senior Python Developer;Москва;Hunt For You; ; ; ; ;;https://spb.hh.ru/vacancy/55843034?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
336;Python разработчик;Архангельск;ООО ПК Энергосбережение;60000;60000;60000;руб;Реализация бэкенд-сервисов на языке Python. Написание RESTful API для клиентской части продукта. Оптимизация производительности приложения. Тестирование. Участие в проектировании......и основ Python 3. Понимание REST-архитектуры, опыт разработки серверной части REST. Опыт разработки асинхронных приложений на Python. ;https://spb.hh.ru/vacancy/55883269?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
337;Python разработчик;Мурманск;ООО ПК Энергосбережение;60000;60000;60000;руб;Реализация бэкенд-сервисов на языке Python. Написание RESTful API для клиентской части продукта. Оптимизация производительности приложения. Тестирование. Участие в проектировании......и основ Python 3. Понимание REST-архитектуры, опыт разработки серверной части REST. Опыт разработки асинхронных приложений на Python. ;https://spb.hh.ru/vacancy/55883194?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
338;Python разработчик;Санкт-Петербург;ООО ПК Энергосбережение;60000;60000;60000;руб;Реализация бэкенд-сервисов на языке Python. Написание RESTful API для клиентской части продукта. Оптимизация производительности приложения. Тестирование. Участие в проектировании......и основ Python 3. Понимание REST-архитектуры, опыт разработки серверной части REST. Опыт разработки асинхронных приложений на Python. ;https://spb.hh.ru/vacancy/55883160?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
339;Python разработчик (разработчик логики);Нижний Новгород;Neuro.net; ; ; ; ;с использованием собственных python-библиотек (задачи на разработку скриптов на Python по типу: нужно отправить GET/POST запрос в API. Уверенное знание Python. Опыт работы с Backend фреймворками Flask/Django. Опыт работы с Docker, HTTP запросами, Git. Опыт работы с...;https://spb.hh.ru/vacancy/66113628?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
340;Senior Backend developer (Remote);Турция;ООО РОДЖИИ ЕВРОПА;3000;4500;3750;usd;Разработка облачного сервиса для компании Роджии. Участие в проектировании и разработке смежных компонент (облачные модули, вычислительные модули, графика и др.).Знание Spring. Отличное знание одного из языков программирования: C, Python, C#, Kotlin, Javascript. Знание ORM. Опыт миграций БД. ;https://spb.hh.ru/vacancy/55079730?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
341;Backend разработчик Node.js;Москва;ООО Р-Вижн; ; ; ; ;Работа над движком (Node.js) программной системы R-Vision (централизованной системы мониторинга и управления информационной безопасностью). Решение нестандартных / сложных технических задач...Опыт работы с Docker. Имеешь опыт в администрировании. Работал с Python. Знаешь Active Directory. Понимаешь принцип работы стека TCP/IP.;https://spb.hh.ru/vacancy/55000305?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
342;Python developer (Flask/Tornado);Москва, Бауманская и еще 2 ;BI.ZONE Направление Разработка; ; ; ; ;Разработка новой и модернизация текущией функциональности backend для облачных сервисов кибербезопасности в части UI. Разработка внутренних систем инфраструктурной автоматизации, решающих...Опыт backend разработки на Python от 3 лет. Опыт написание интеграционных сервисов (взаимодействие со сторонним API). Опыт разработки приложений с...;https://spb.hh.ru/vacancy/53948584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
343;Middle – Senior QA Automation;Москва;Кадровое агентство Smart Business;120000;300000;210000;руб;Тестирование веб приложений: автоматизация проведение функционального, нефункционального, интеграционного и системного автоматизированного тестирования. – Тестирование бэкенд сложных систем с большим количеством интеграций......Gitlab CI) - настройка системы для автоматического запуска автоматизированных тестов. – Опыт программирования на одном из следующих языков программирования: python, c#, go.;https://spb.hh.ru/vacancy/66112236?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
344;Senior Python Developer;Москва;Воронина Мария;4000;6000;5000;usd;Для торговых площадок GameFi и NFT мы предоставляем готовые к использованию страницы оформления заказа для продажи NFT или внутриигровых токенов...4 лет опыта разработки на Python. - Обязателен опыт в Blockchain от 2-х лет. - Понимание основных концепций DeFi и проблем...;https://spb.hh.ru/vacancy/58433629?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
345;Python-разработчик (VK Tax Monitoring);Москва;VK; ; ; ; ;Проектирование и разработка функциональных и вспомогательных сервисов. Разработка бэкенда на Python. Проектирование и оптимизация схемы хранения данных в СУБД (Postgresql). Опыт разработки на Python. Опыт работы с технологиями: Postgress, Redis, Kafka, Flask, AsyncIO. Будет плюсом: Понимание микросервисной архитектуры. ;https://spb.hh.ru/vacancy/66120191?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
346;Backend Team Lead (Extranet);Москва, Краснопресненская и еще 1 ;Emerging Travel Group (Ostrovok.ru, B2B.Ostrovok, RateHawk, ZenHotels); ; ; ; ;Планированием итераций разработки, включая как продуктовые задачи, так и технический долг. Декомпозицией и распределением задач между участниками команды. Опыт управления командой из 2х и более человек. Опыт коммерческой разработки на Python3 (у нас 3.9) в...;https://spb.hh.ru/vacancy/55877017?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
347;Software Developer (Golang);Москва;ООО ВЕБ Инфраструктура;100000;220000;160000;руб;Разработка архитектуры новых проектов и технологических решений. Поддержка, развитие и оптимизация существующего кода различных сервисов действующих проектов. Проектирование и разработка...Умение нормально коммуницировать, в том числе и удалённо. Знание Python 3 (Django, FastAPI). Английский на уровне свободного чтения технической документации. ;https://spb.hh.ru/vacancy/66901067?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
348;Разработчик бэкенда в Практикум;Москва;Яндекс; ; ; ; ;Проектировать и внедрять новые форматы прохождения курсов, проектных работ. Добавлять на платформу новые тренажеры для студентов, внедрять запуск кода на...Разрабатывать сложный универсальный конструктор образовательного опыта.;https://spb.hh.ru/vacancy/55899823?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
349;Middle Python Developer (удаленно);Казань;Noorsoft;260000;350000;305000;руб;Реализация бэкенд-сервисов на языке Python. Разработка новых и совершенствование существующих функций, рефакторинг.Опыт коммерческой разработки на Python 3 не менее 2х лет. Знание фреймворков Django, Flask. Понимание CI/CD процессов. ;https://spb.hh.ru/vacancy/55851501?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
350;Backend разработчик senior/middle+;Москва;ООО Авигаль; ; ; ; ;Разработка ПО - web приложения в соответствии с техническим заданием. Проектирование. Написание кода. Пусконаладочные работы. Участие в командных мероприятиях по сбору...Понимаешь, что такое асинхронное программирование, как оно устроено в языке Python и можешь работать с микросервисной архитектурой. Разбираешься в новых...;https://spb.hh.ru/vacancy/66494541?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
351;Go (Golang) Backend Developer;Казань;DeNet;60000;150000;105000;руб;Использование командной строки или терминала для выполнения команд. Min — Законченная онлайн школа по программированию.Опыт разработки ПО на Go/Java/Python/C/C# от 1 года (суммарно) (школьная программа не в счет). ;https://spb.hh.ru/vacancy/55845317?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
352;Senior Backend Engineer (Node.js), Logistics API;Москва;ООО МэпДэйта; ; ; ; ;"Design and implement scalable and reliable services for our API and routing engine tiers, following best practices for deployment, resilience......14; it would be good to have an experience in Python, Rust, or Java. Experience building highly-available API services...";https://spb.hh.ru/vacancy/66137200?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
353;Full-stack Web-developer (Фулстак разработчик);Минск;ООО Веб Фокус; ; ; ; ;Развитие ранее созданных сайтов и запуск новых. Активное участие в выборе необходимых технологий. Code-review и помощь команде.Опыт работы Next.js. Опыт работы Gatsby.js. Опыт работы с Django и Python. Опыт работы с иными инструментами и технологиями. ;https://spb.hh.ru/vacancy/66792016?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
354;Python разработчик (крупная IT компания);Санкт-Петербург;AVRIO Group Consulting; ; ; ; ;Обсуждение и защита перед коллегами архитектуры модулей. Работа со стеком технологий python3x, postgreSQL, SQLalchemy, celery, rabbitmq, redis, buildout...Опыт работы с реляционными БД, знание SQL. Опыт проектирования масштабируемых бекендов и REST APIs. Опыт работы с фреймворками Bottle, Django...;https://spb.hh.ru/vacancy/51442404?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
355;Backend Web Developer;Москва, Нагатинская;ИНСКОМ;200000;200000;200000;руб;Мы в поисках Backend Web-разработчика для разработки нового нишевого продукта. Будет круто, если ты готов предлагать архитектурные решения и...Обязательные навыки и опыт: - Опыт коммерческой разработки от 2х лет (приоритетные языки: Python, PHP, .NET, C# или Java). - ;https://spb.hh.ru/vacancy/54427078?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
356;Senior C# разработчик (mobile app backend);Казань;ProfiStaff;400000;450000;425000;руб;Общение на прямую с заказчиками. Разработка интеграционных решений бекэнда со сторонними системами. Работа в составе внутренней команды и с внешним...Уверенное владение C#, MS SQL. Опыт разработки бекэнда мобильных приложений от 3-х лет. Хорошие знания многопоточности. Опыт разработки/проектирования...;https://spb.hh.ru/vacancy/66073600?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
357;Middle Frontend разработчик (Vue/Nuxt);Москва;Сила Света; ; ; ; ;Ты будешь работать в команде из 7 человек и разрабатывать интерфейсы веб-приложения по управлению переиспользуемыми ассетами в соответствии с...Ты подойдешь, если. Знаешь JS версии ES6 и выше. Знаешь и используешь jQuery. Имеешь крепкие Problem Solving Skills. ;https://spb.hh.ru/vacancy/55869494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
